Principios de Sabiduria,lbanguero.jpeg,principios-de-sabiduria,Lectura del proverbio del dia,00:01,00:17,Lorena Banguero Rivas,5,16,2025-10-24 14:19:31,2025-10-24 14:19:31,principios-de-sabiduria_00-01_00-17
Musica,logoprogramacion.jpg,musica,Musica para acompanar y orar,00:17,00:29,Equipo ECCA,5,12,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_00-17_00-29
He aqui estoy a la puerta y llamo,logoprogramacion.jpg,he-aqui-estoy-a-la-puerta-y-llamo,Como recibir al Salvador en el corazon,00:30,00:37,Equipo ECCA,5,7,2025-10-24 14:19:31,2025-10-24 14:19:31,he-aqui-estoy-a-la-puerta-y-llamo_00-30_00-37
Musica,logoprogramacion.jpg,musica-2,Musica para acompanar y orar,00:37,00:59,Equipo ECCA,5,22,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_00-37_00-59
Lectura de la Biblia NTD,logoprogramacion.jpg,lectura-de-la-biblia-ntd,Lectura del Nuevo Testamento,01:00,01:12,Produccion SBU,5,12,2025-10-24 14:19:31,2025-10-24 14:19:31,lectura-de-la-biblia-ntd_01-00_01-12
Musica,logoprogramacion.jpg,musica-3,Musica para acompanar y orar,01:12,01:29,Equipo ECCA,5,17,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_01-12_01-29
Flores para el alma,nsabogal.jpeg,flores-para-el-alma,Devocional para mujeres,01:29,01:34,Norma Cecilia de Sabogal,5,5,2025-10-24 14:19:31,2025-10-24 14:19:31,flores-para-el-alma_01-29_01-34
Musica,logoprogramacion.jpg,musica-4,Musica para acompanar y orar,01:34,01:59,Equipo ECCA,5,25,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_01-34_01-59
Lumbrera a mi camino,hbelalcazarv.jpeg,lumbrera-a-mi-camino,Mensajes para el pueblo,02:00,02:19,Henry Belalcazar Valencia,5,19,2025-10-24 14:19:31,2025-10-24 14:19:31,lumbrera-a-mi-camino_02-00_02-19
Musica,logoprogramacion.jpg,musica-5,Musica para acompanar y orar,02:19,02:59,Equipo ECCA,5,40,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_02-19_02-59
Lectura de la Biblia NTD,logoprogramacion.jpg,lectura-de-la-biblia-ntd-2,Lectura del Nuevo Testamento,03:00,03:12,Produccion SBU,5,12,2025-10-24 14:19:31,2025-10-24 14:19:31,lectura-de-la-biblia-ntd_03-00_03-12
Musica,logoprogramacion.jpg,musica-6,Musica para acompanar y orar,03:12,03:59,Equipo ECCA,5,47,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_03-12_03-59
Meditad en la palabra de vida,hbelalcazarv.jpeg,meditad-en-la-palabra-de-vida,Mensajes para el pueblo,04:00,04:22,Henry Belalcazar Valencia,5,22,2025-10-24 14:19:31,2025-10-24 14:19:31,meditad-en-la-palabra-de-vida_04-00_04-22
Musica,logoprogramacion.jpg,musica-7,Musica para acompanar y orar,04:22,04:59,Equipo ECCA,5,37,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_04-22_04-59
Flores para el alma,nsabogal.jpeg,flores-para-el-alma-2,Devocional para mujeres,05:00,05:29,Norma Cecilia de Sabogal,5,29,2025-10-24 14:19:31,2025-10-24 14:19:31,flores-para-el-alma_05-00_05-29
Cancion no puedo parar de alabarte,logoprogramacion.jpg,cancion-no-puedo-parar-de-alabarte,Himno inicio de programacion,05:30,05:51,Equipo ECCA,5,21,2025-10-24 14:19:31,2025-10-24 14:19:31,cancion-no-puedo-parar-de-alabarte_05-30_05-51
Musica,logoprogramacion.jpg,musica-8,Musica para acompanar y orar,05:51,06:00,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_05-51_06-00
Manana Principios de sabiduria,lbanguero.jpeg,manana-principios-de-sabiduria,Lectura del proverbio del dia,06:01,06:29,Lorena Banguero Rivas,5,28,2025-10-24 14:19:31,2025-10-24 14:19:31,manana-principios-de-sabiduria_06-01_06-29
He aqui estoy a la puerta y llamo,logoprogramacion.jpg,he-aqui-estoy-a-la-puerta-y-llamo-2,Como recibir al Salvador en el corazon,06:30,06:39,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,he-aqui-estoy-a-la-puerta-y-llamo_06-30_06-39
Haciendo vallado oracion de Daniel,zherrera.jpeg,haciendo-vallado-oracion-de-daniel,Oraciones poderosas por personajes de la Biblia,06:40,06:50,Zotico Herrera,5,10,2025-10-24 14:19:31,2025-10-24 14:19:31,haciendo-vallado-oracion-de-daniel_06-40_06-50
Musica,logoprogramacion.jpg,musica-9,Musica para acompanar y orar,06:50,06:59,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_06-50_06-59
Lumbrera a mi camino,hbelalcazarv.jpeg,lumbrera-a-mi-camino-2,Mensajes para el pueblo,07:00,07:19,Henry Belalcazar Valencia,5,19,2025-10-24 14:19:31,2025-10-24 14:19:31,lumbrera-a-mi-camino_07-00_07-19
Musica,logoprogramacion.jpg,musica-10,Musica para acompanar y orar,07:19,07:59,Equipo ECCA,5,40,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_07-19_07-59
Lugar Secreto,logoprogramacion.jpg,lugar-secreto,Musica para acompanar y orar,08:00,08:35,Equipo ECCA,5,35,2025-10-24 14:19:31,2025-10-24 14:19:31,lugar-secreto_08-00_08-35
Musica,logoprogramacion.jpg,musica-11,Musica para acompanar y orar,08:35,08:59,Equipo ECCA,5,24,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_08-35_08-59
Formando un ejercito para Cristo,icollazos.png,formando-un-ejercito-para-cristo,Mensajes para aprender a adorar,09:00,09:18,Italia Collazos Ramos,5,18,2025-10-24 14:19:31,2025-10-24 14:19:31,formando-un-ejercito-para-cristo_09-00_09-18
Musica,logoprogramacion.jpg,musica-12,Musica para acompanar y orar,09:18,09:59,Equipo ECCA,5,41,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_09-18_09-59
Siembra y Cosecha,alcambindo.jpeg,siembra-y-cosecha,Meditacion corta de un tema de la palabra de Dios,10:00,10:38,Ana Lucia Cambindo Ramos,5,38,2025-10-24 14:19:31,2025-10-24 14:19:31,siembra-y-cosecha_10-00_10-38
Musica,logoprogramacion.jpg,musica-13,Musica para acompanar y orar,10:38,10:59,Equipo ECCA,5,21,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_10-38_10-59
Lectura de la Biblia NTD,logoprogramacion.jpg,lectura-de-la-biblia-ntd-3,Lectura del Nuevo Testamento,11:00,11:12,Produccion SBU,5,12,2025-10-24 14:19:31,2025-10-24 14:19:31,lectura-de-la-biblia-ntd_11-00_11-12
Musica,logoprogramacion.jpg,musica-14,Musica para acompanar y orar,11:12,11:58,Equipo ECCA,5,46,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_11-12_11-58
Medio dia Principios de sabiduria,lbanguero.jpeg,medio-dia-principios-de-sabiduria,Lectura del proverbio del dia,11:59,12:22,Lorena Banguero Rivas,5,23,2025-10-24 14:19:31,2025-10-24 14:19:31,medio-dia-principios-de-sabiduria_11-59_12-22
Musica,logoprogramacion.jpg,musica-15,Musica para acompanar y orar,12:22,13:29,Equipo ECCA,5,67,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_12-22_13-29
Flores para el alma,nsabogal.jpeg,flores-para-el-alma-3,Devocional para mujeres,13:30,13:42,Norma Cecilia de Sabogal,5,12,2025-10-24 14:19:31,2025-10-24 14:19:31,flores-para-el-alma_13-30_13-42
